ID,STATE_NAME,COUNTY,City,Latitude,Longitude
2678,California,Los Angeles,Santa Fe Springs,33.946407,-118.083801
2679,California,San Luis Obispo,Santa Margarita,35.341254,-120.3202
2681,California,Los Angeles,Santa Monica,34.017628,-118.490708
2682,California,Ventura,Santa Paula,34.354718,-119.071328
2686,California,San Diego,Santa Ysabel,33.147579,-116.69635
2687,California,San Diego,Santee,32.848636,-116.986154
2693,California,Orange,Seal Beach,33.760971,-118.08428
2696,California,Imperial,Seeley,32.793056,-115.690278
2699,California,Tulare,Sequoia National Park,36.573878,-118.772271
2700,California,Kern,Shafter,35.496994,-119.280075
2701,California,San Luis Obispo,Shandon,35.651273,-120.372047
2707,California,Los Angeles,Sherman Oaks,34.151407,-118.460325
2712,California,Los Angeles,Sierra Madre,34.165101,-118.051916
2714,California,Los Angeles,Signal Hill,33.8037,-118.1688
2715,California,Orange,Silverado,33.746111,-117.636111
2716,California,Ventura,Simi Valley,34.2694,-118.7805
2723,California,San Diego,Solana Beach,32.993739,-117.2598
2728,California,Ventura,Somis,34.279753,-119.011537
2734,California,Los Angeles,South El Monte,34.055676,-118.044381
2735,California,Los Angeles,South Gate,33.94617,-118.201349
2737,California,Los Angeles,South Pasadena,34.110939,-118.154696
2740,California,San Diego,Spring Valley,32.7447,-116.998
2741,California,Tulare,Springville,36.136314,-118.796059
2746,California,Orange,Stanton,33.803029,-117.994709
2747,California,Los Angeles,Stevenson Ranch,34.381067,-118.582134
2756,California,Tulare,Strathmore,36.147237,-119.079163
2759,California,Los Angeles,Studio City,34.143025,-118.391311
2762,California,Tulare,Sultana,36.545556,-119.339167
2764,California,Riverside,Sun City,33.744518,-117.171899
2765,California,Los Angeles,Sun Valley,34.220907,-118.369853
2766,California,Los Angeles,Sunland,34.261025,-118.321359
2769,California,Orange,Sunset Beach,33.716389,-118.068056
2770,California,Orange,Surfside,33.727778,-118.081389
2774,California,Los Angeles,Sylmar,34.30538,-118.432181
2775,California,Kern,Taft,35.148164,-119.455674
2780,California,Los Angeles,Tarzana,34.16708,-118.541354
2782,California,San Diego,Tecate,32.592205,-116.606397
2784,California,Kern,Tehachapi,35.129776,-118.522227
2786,California,Riverside,Temecula,33.4936,-117.1475
2787,California,Los Angeles,Temple City,34.101586,-118.053652
2788,California,San Luis Obispo,Templeton,35.555082,-120.710737
2790,California,Tulare,Terra Bella,35.95698,-119.031239
2792,California,Riverside,Thermal,33.543418,-116.11584
